article,category,summary
"Tessel: Boosting Distributed Execution of Large DNN Models via Flexible
  Schedule Search","Distributed, Parallel, and Cluster Computing",increasingly complex diverse deep neural network dnn models necessitate distributing execution across multiple devices training inference tasks also require carefully planned schedules performance however existing practices often rely predefined schedules may not fully exploit benefits emerging diverse modelaware operator placement strategies handcrafting highefficiency schedules can be challenging due large varying schedule space paper presents tessel automated system searches efficient schedules distributed dnn training inference diverse operator placement strategies reduce search costs tessel leverages insight most efficient schedules often exhibit repetitive pattern repetend across different data inputs leads twophase approach repetend construction schedule completion exploring schedules various operator placement strategies tessel significantly improves both training inference performance experiments representative dnn models demonstrate tessel achieves up training performance speedup up inference latency reduction
"Toward Scalable Machine Learning and Data Mining: the Bioinformatics
  Case","Distributed, Parallel, and Cluster Computing",effort overcome data deluge computational biology bioinformatics facilitate bioinformatics research era big data we identify some most influential algorithms have been widely used bioinformatics community these top data mining machine learning algorithms cover classification clustering regression graphical modelbased learning dimensionality reduction goal study guide focus scalable computing experts endeavor applying new storage scalable computation designs bioinformatics algorithms merit their attention most following engineering maxim optimize common case
A Learned Performance Model for Tensor Processing Units,Performance,accurate hardware performance models are critical efficient code generation they can be used compilers make heuristic decisions superoptimizers minimization objective autotuners find optimal configuration specific program however they are difficult develop because contemporary processors are complex recent proliferation deep learning accelerators has increased development burden we demonstrate method learning performance models corpus tensor computation graph programs tensor processing unit tpu instances we show our learned model outperforms heavilyoptimized analytical performance model two tasks tilesize selection operator fusion it helps autotuner discover faster programs setting where access tpus limited expensive
"On the Practicality of Intrinsic Reconfiguration As a Fault Recovery
  Method in Analog Systems",Performance,evolvable hardware combines powerful search capability evolutionary algorithms flexibility reprogrammable devices thereby providing natural framework reconfiguration framework has generated interest using evolvable hardware faulttolerant systems because reconfiguration can effectively deal hardware faults whenever it impossible provide spares but systems cannot tolerate faults indefinitely which means reconfiguration does have deadline focus previous evolvable hardware research relating faulttolerance has been primarily restricted restoring functionality no real consideration time constraints paper we are concerned evolvable hardware performing reconfiguration under deadline constraints particular we investigate reconfigurable hardware undergoes intrinsic evolution we show fault recovery done intrinsic reconfiguration has some restrictions which designers cannot ignore
A Comparative Measurement Study of Deep Learning as a Service Framework,Performance,big data powered deep learning dl its applications have blossomed recent years fueled three technological trends large amount digitized data openly accessible growing number dl software frameworks open source commercial markets selection affordable parallel computing hardware devices however no single dl framework date dominates terms performance accuracy even baseline classification tasks standard datasets making selection dl framework overwhelming task paper takes holistic approach conduct empirical comparison analysis four representative dl frameworks three unique contributions first given selection cpugpu configurations we show specific dl framework different configurations its hyperparameters may have significant impact both performance accuracy dl applications second best our knowledge study first identify opportunities improving training time performance accuracy dl frameworks configuring parallel computing libraries tuning individual multiple hyperparameters third we also conduct comparative measurement study resource consumption patterns four dl frameworks their performance accuracy implications including cpu memory usage their correlations varying settings hyperparameters under different configuration combinations hardware parallel computing libraries we argue measurement study provides indepth empirical comparison analysis four representative dl frameworks offers practical guidance service providers deploying delivering dl service dlaas application developers dlaas consumers select right dl frameworks right dl workloads
"RL-QN: A Reinforcement Learning Framework for Optimal Control of
  Queueing Systems",Performance,rapid advance information technology network systems have become increasingly complex hence underlying system dynamics are often unknown difficult characterize finding good network control policy significant importance achieve desirable network performance eg high throughput low delay work we consider using modelbased reinforcement learning rl learn optimal control policy queueing networks so average job delay equivalently average queue backlog minimized traditional approaches rl however cannot handle unbounded state spaces network control problem overcome difficulty we propose new algorithm called reinforcement learning queueing networks rlqn which applies modelbased rl methods over finite subset state space while applying known stabilizing policy rest states we establish average queue backlog under rlqn appropriately constructed subset can be arbitrarily close optimal result we evaluate rlqn dynamic server allocation routing switching problems simulation results show rlqn minimizes average queue backlog effectively
A Learned Performance Model for Tensor Processing Units,Performance,accurate hardware performance models are critical efficient code generation they can be used compilers make heuristic decisions superoptimizers minimization objective autotuners find optimal configuration specific program however they are difficult develop because contemporary processors are complex recent proliferation deep learning accelerators has increased development burden we demonstrate method learning performance models corpus tensor computation graph programs tensor processing unit tpu instances we show our learned model outperforms heavilyoptimized analytical performance model two tasks tilesize selection operator fusion it helps autotuner discover faster programs setting where access tpus limited expensive
"A Cumulative Multi-Niching Genetic Algorithm for Multimodal Function
  Optimization",Neural and Evolutionary Computing,paper presents cumulative multiniching genetic algorithm cmn ga designed expedite optimization problems have computationallyexpensive multimodal objective functions never discarding individuals population cmn ga makes use information every objective function evaluation it explores design space fitnessrelated population density control over design space reduces unnecessary objective function evaluations algorithms novel arrangement genetic operations provides fast robust convergence multiple local optima benchmark tests alongside three other multiniching algorithms show cmn ga has greater convergence ability provides orderofmagnitude reduction number objective function evaluations required achieve given level convergence
"High-Order Associative Learning Based on Memristive Circuits for
  Efficient Learning",Neural and Evolutionary Computing,memristive associative learning has gained significant attention its ability mimic fundamental biological learning mechanisms while maintaining system simplicity work we introduce highorder memristive associative learning framework biologically realistic structure utilizing memristors synaptic modules their state information bridge different orders associative learning our design effectively establishes associations between multiple stimuli replicates transient nature highorder associative learning pavlovs classical conditioning experiments our design achieves improvement learning efficiency compared previous works memristor power consumption synaptic modules remaining below muw largescale image recognition tasks we utilize memristor array represent images enabling system recognize label test images semantic information accuracy scalability across different tasks highlights frameworks potential wide range applications offering enhanced learning efficiency current memristorbased neuromorphic systems
Training an Ising Machine with Equilibrium Propagation,Neural and Evolutionary Computing,ising machines which are hardware implementations ising model coupled spins have been influential development unsupervised learning algorithms origins artificial intelligence ai however their application ai has been limited due complexities matching supervised training methods ising machine physics even though these methods are essential achieving high accuracy study we demonstrate novel approach train ising machines supervised way through equilibrium propagation algorithm achieving comparable results softwarebased implementations we employ quantum annealing procedure dwave ising machine train fullyconnected neural network mnist dataset furthermore we demonstrate machines connectivity supports convolution operations enabling training compact convolutional network minimal spins per neuron our findings establish ising machines promising trainable hardware platform ai potential enhance machine learning applications
"EEGSN: Towards Efficient Low-latency Decoding of EEG with Graph Spiking
  Neural Networks",Neural and Evolutionary Computing,vast majority spiking neural networks snns are trained based inductive biases are not necessarily good fit several critical tasks require lowlatency power efficiency inferring brain behavior based associated electroenchephalography eeg signals example how networks training inference efficiency can be heavily impacted learning spatiotemporal dependencies up now snns rely solely general inductive biases model dynamic relations between different data streams here we propose graph spiking neural network architecture multichannel eeg classification eegsn learns dynamic relational information present distributed eeg sensors our method reduced inference computational complexity times compared stateoftheart snns while achieved comparable accuracy motor execution classification tasks overall our work provides framework interpretable efficient training graph spiking networks are suitable lowlatency lowpower realtime applications
"Why don't the modules dominate - Investigating the Structure of a
  Well-Known Modularity-Inducing Problem Domain",Neural and Evolutionary Computing,wagners modularity inducing problem domain key contribution study evolution modularity including both evolutionary theory evolutionary computation we study its behavior under classical genetic algorithms unlike what we seem observe nature emergence modularity highly conditional dependent example eagerness search nature modular solutions generally dominate populations whereas domain modularity when it emerges relatively rare variant emergence modularity depends heavily random fluctuations fitness function randomly varied but unchanging fitness function modularity evolved far more rarely interestingly highfitness nonmodular solutions could frequently be converted into evenhigherfitness modular solutions manually removing all intermodule edges despite careful exploration we do not yet have full explanation why genetic algorithm was unable find these better solutions
"Optimizing Coordinative Schedules for Tanker Terminals: An Intelligent
  Large Spatial-Temporal Data-Driven Approach -- Part 1","Computational Engineering, Finance, and Science",study novel coordinative scheduling optimization approach proposed enhance port efficiency reducing average wait time turnaround time proposed approach consists enhanced particle swarm optimization epso kernel augmented firefly algorithm afa global optimal search two paradigm methods proposed approach are investigated which are batch method rolling horizon method experimental results show both paradigm methods proposed approach can effectively enhance port efficiency average wait time could be significantly reduced average turnaround time could eventually save respect historical benchmarks moreover paradigm method rolling horizon could reduce mins running time over month datasets rather than hrs batch method corresponding maximum performance
"Investigating the Detection of Adverse Drug Events in a UK General
  Practice Electronic Health-Care Database","Computational Engineering, Finance, and Science",datamining techniques have frequently been developed spontaneous reporting databases these techniques aim find adverse drug events accurately efficiently spontaneous reporting databases are prone missing information under reporting incorrect entries often results detection lag prevents detection some adverse drug events these limitations do not occur electronic healthcare databases paper existing methods developed spontaneous reporting databases are implemented both spontaneous reporting database general practice electronic healthcare database compared results suggests application existing methods general practice database may help find signals have gone undetected when using spontaneous reporting system database addition general practice database provides far more supplementary information if incorporated analysis could provide wealth information identifying adverse events more accurately
"A New Approach to the Solution of Economic Dispatch Using Particle Swarm
  Optimization with Simulated Annealing","Computational Engineering, Finance, and Science",new approach solution economic dispatch using particle swarm optimization presented it progression allocating production amongst dedicated units such restriction forced are fulfilled power needs are reduced more just soft computing method has received supplementary concentration was used quantity successful sensible applications here attempt has been made find out minimum cost using particle swarm optimization algorithm using data three generating units work data has been taken such loss coefficients maxmin power limit cost function pso simulated annealing are functional put out least amount dissimilar energy requirements when outputs are compared conventional method pso seems give improved result enhanced convergence feature all methods are executed matlab environment effectiveness feasibility proposed method were demonstrated three generating units case study output gives hopeful results signifying projected method calculation competent economically formative advanced eminence solutions addressing economic dispatch problems
"A Self-Taught Artificial Agent for Multi-Physics Computational Model
  Personalization","Computational Engineering, Finance, and Science",personalization process fitting model patient data critical step towards application multiphysics computational models clinical practice designing robust personalization algorithms often tedious timeconsuming model dataspecific process we propose use artificial intelligence concepts learn task inspired how human experts manually perform it problem reformulated terms reinforcement learning offline phase vito our selftaught artificial agent learns representative decision process model through exploration computational model it learns how model behaves under change parameters agent then automatically learns optimal strategy online personalization algorithm modelindependent applying it new model requires only adjusting few hyperparameters agent defining observations match full knowledge model itself not required vito was tested synthetic scenario showing it could learn how optimize cost functions generically then vito was applied inverse problem cardiac electrophysiology personalization wholebody circulation model obtained results suggested vito could achieve equivalent if not better goodness fit than standard methods while being more robust up higher success rates faster up seven times convergence rate our artificial intelligence approach could thus make personalization algorithms generalizable selfadaptable any patient any model
"Plastic Arbor: a modern simulation framework for synaptic plasticity
  $\unicode{x2013}$ from single synapses to networks of morphological neurons","Computational Engineering, Finance, and Science",arbor software library designed efficient simulation largescale networks biological neurons detailed morphological structures it combines customizable neuronal synaptic mechanisms highperformance computing supporting multicore cpu gpu systems humans other animals synaptic plasticity processes play vital role cognitive functions including learning memory recent studies have shown intracellular molecular processes dendrites significantly influence singleneuron dynamics however understanding how complex interplay between dendrites synaptic processes influences network dynamics computational modeling required enable modeling largescale networks morphologically detailed neurons diverse plasticity processes we have extended arbor library plastic arbor framework supporting simulations large variety spikedriven plasticity paradigms showcase features new framework we present examples computational models beginning singlesynapse dynamics progressing multisynapse rules finally scaling up large recurrent networks while crossvalidating our implementations comparison other simulators we show arbor allows simulating plastic networks multicompartment neurons nearly no additional cost runtime compared pointneuron simulations using new framework we have already been able investigate impact dendritic structures network dynamics across timescale several hours showing relation between length dendritic trees ability network efficiently store information our extension arbor we aim provide valuable tool will support future studies impact synaptic plasticity especially conjunction neuronal morphology large networks
Momen(e)t: Flavor the Moments in Learning to Classify Shapes,Computational Geometry,fundamental question learning classify shapes how treat data way would allow us construct efficient accurate geometric processing analysis procedures here we restrict ourselves networks operate point clouds there were several attempts treat point clouds nonstructured data sets which neural network trained extract discriminative properties idea using coordinates class identifiers motivated us extend line thought shape classification comparing attributes could easily account shape moments here we propose add polynomial functions coordinates allowing network account higher order moments given shape experiments two benchmarks show suggested network able provide state art results same token learn more efficiently terms memory computational complexity
Structural Design Using Laplacian Shells,Computational Geometry,we introduce method design lightweight shell objects are structurally robust under external forces they may experience during use given input model general description external forces our algorithm generates structurallysound minimum weight shell object our approach works altering local shell thickness repeatedly based stresses develop inside object key issue shell design large thickness values might result selfintersections inner boundary creating significant computational challenge during optimization address we propose shape parametrization based solution laplaces equation guarantees smooth intersectionfree shell boundaries combined our gradientfree optimization algorithm our method provides practical solution structural design hollow objects single inner cavity we demonstrate our method variety problems arbitrary models under complex force configurations validate its performance physical experiments
"Peacock Bundles: Bundle Coloring for Graphs with Globality-Locality
  Trade-off",Computational Geometry,bundling graph edges nodetonode connections common technique enhance visibility overall trends edge structure large graph layout large variety bundling algorithms have been proposed however strong bundling it becomes hard identify origins destinations individual edges we propose solution we optimize edge coloring differentiate bundled edges we quantify strength bundling flexible pairwise fashion between edges among bundled edges we quantify how dissimilar their colors should be dissimilarity their origins destinations we solve resulting nonlinear optimization which also interpretable novel dimensionality reduction task large graphs necessary compromise whether differentiate colors sharply between locally occurring strongly bundled edges local bundles also between weakly bundled edges occurring globally over graph global bundles we allow userset globallocal tradeoff we call technique peacock bundles experiments show coloring clearly enhances comprehensibility graph layouts edge bundling
A Grid-based Approach for Convexity Analysis of a Density-based Cluster,Computational Geometry,paper presents novel geometrical approach investigate convexity densitybased cluster our approach gridbased we are about calibrate value space cluster however cluster objects are coming infinite distribution their number finite thus regarding shape will not be sharp therefore we establish precision grid properly way reliable approximate boundaries cluster are founded after regarding simple notion convex sets midpoint convexity we investigate whether not densitybased cluster convex moreover our experiments synthetic datasets demonstrate desirable performance our method
"The Effectiveness of Johnson-Lindenstrauss Transform for High
  Dimensional Optimization With Adversarial Outliers, and the Recovery",Computational Geometry,paper we consider robust optimization problems high dimensions because realworld dataset may contain significant noise even specially crafted samples some attacker we are particularly interested optimization problems arbitrary potentially adversarial outliers we focus two fundamental optimization problems em svm outliers em kcenter clustering outliers they are fact extremely challenging combinatorial optimization problems since we cannot impose any restriction adversarial outliers therefore their computational complexities are quite high especially when we consider instances high dimensional spaces em johnsonlindenstrauss jl transform one most popular methods dimension reduction though jl transform has been widely studied past decades its effectiveness dealing adversarial outliers has never been investigated before best our knowledge based some novel insights geometry we prove complexities these two problems can be significantly reduced through jl transform moreover we prove solution dimensionalityreduced space can be efficiently recovered original mathbbrd while quality still preserved experiments we compare jl transform several other well known dimension reduction methods study their performances synthetic real datasets
Interpreting Deep Learning-Based Networking Systems,Networking and Internet Architecture,while many deep learning dlbased networking systems have demonstrated superior performance underlying deep neural networks dnns remain blackboxes stay uninterpretable network operators lack interpretability makes dlbased networking systems prohibitive deploy practice paper we propose metis framework provides interpretability two general categories networking problems spanning local global control accordingly metis introduces two different interpretation methods based decision tree hypergraph where it converts dnn policies interpretable rulebased controllers highlight critical components based analysis over hypergraph we evaluate metis over several stateoftheart dlbased networking systems show metis provides humanreadable interpretations while preserving nearly no degradation performance we further present four concrete use cases metis showcasing how metis helps network operators design debug deploy adhoc adjust dlbased networking systems
"DeepSIP: A System for Predicting Service Impact of Network Failure by
  Temporal Multimodal CNN",Networking and Internet Architecture,when failure occurs network network operators need recognize service impact since service impact essential information handling failures paper we propose deep learning based service impact prediction deepsip system predict time recovery failure loss traffic volume due failure network element using temporal multimodal convolutional neural network cnn since time recovery useful information service level agreement sla loss traffic volume directly related severity failures we regard these service impact service impact challenging predict since network element does not explicitly contain any information about service impact thus we aim predict service impact syslog messages traffic volume extracting hidden information about failures extract useful features prediction syslog messages traffic volume which are multimodal strongly correlated have temporal dependencies we use temporal multimodal cnn we experimentally evaluated deepsip deepsip reduced prediction error approximately comparison other nnbased methods synthetic dataset
Machine Learning for Wireless Link Quality Estimation: A Survey,Networking and Internet Architecture,since emergence wireless communication networks plethora research papers focus their attention quality aspects wireless links analysis rich body existing literature link quality estimation using models developed data traces indicates techniques used modeling link quality estimation are becoming increasingly sophisticated number recent estimators leverage machine learning ml techniques require sophisticated design development process each which has great potential significantly affect overall model performance paper we provide comprehensive survey link quality estimators developed empirical data then focus subset use ml algorithms we analyze mlbased link quality estimation lqe models two perspectives using performance data firstly we focus how they address quality requirements are important perspective applications they serve secondly we analyze how they approach standard design steps commonly used ml community having analyzed scientific body survey we review existing open source datasets suitable lqe research finally we round up our survey lessons learned design guidelines mlbased lqe development dataset collection
"Intelligent Automated Diagnosis of Client Device Bottlenecks in Private
  Clouds",Networking and Internet Architecture,we present automated solution rapid diagnosis client device problems private cloud environments intelligent automated client diagnostic iacd system clients are diagnosed aid transmission control protocol tcp packet traces observation anomalous artifacts occurring result each fault ii subsequent use inference capabilities softmargin support vector machine svm classifiers iacd system features modular design extendible new faults detection capability unaffected tcp variant used client experimental evaluation iacd system controlled environment demonstrated overall diagnostic accuracy
"Cardinality Estimation in a Virtualized Network Device Using Online
  Machine Learning",Networking and Internet Architecture,cardinality estimation algorithms receive stream elements possible repetitions return number distinct elements stream such algorithms seek minimize required memory cpu resource consumption price inaccuracy their output computer networks cardinality estimation algorithms are mainly used counting number distinct flows they are divided into two categories sketching algorithms sampling algorithms sketching algorithms require processing all packets they are therefore usually implemented dedicated hardware sampling algorithms do not require processing all packets but they are known their inaccuracy work we identify one major drawbacks samplingbased cardinality estimation algorithms their inability adapt changes flow size distribution address problem we propose new samplingbased adaptive cardinality estimation framework which uses online machine learning we evaluate our framework using real traffic traces show significantly better accuracy compared best known samplingbased algorithms same fraction processed packets
Reasoning about Human-Friendly Strategies in Repeated Keyword Auctions,Computer Science and Game Theory,online advertising search engines sell ad placements keywords continuously through auctions problem can be seen infinitely repeated game since auction executed whenever user performs query keyword advertisers may frequently change their bids game will have large set equilibria potentially complex strategies paper we propose use natural strategies reasoning such setting they are processable artificial agents limited memory andor computational power well understandable human users reach goal we introduce quantitative version strategy logic natural strategies setting imperfect information first step we show how model strategies repeated keyword auctions take advantage model proving properties evaluating game second step we study logic relation distinguishing power expressivity modelchecking complexity strategies without recall
Multi-scale Online Learning and its Applications to Online Auctions,Computer Science and Game Theory,we consider revenue maximization online auctionpricing problems seller sells identical item each period new buyer new set buyers online posted pricing problem we show regret bounds scale best fixed price rather than range values we also show regret bounds are almost scale free match offline sample complexity when comparing benchmark requires lower bound market share these results are obtained generalizing classical learning experts multiarmed bandit problems their multiscale versions version reward each action different range regret wrt given action scales its own range rather than maximum range
Safe Search for Stackelberg Equilibria in Extensive-Form Games,Computer Science and Game Theory,stackelberg equilibrium solution concept twoplayer games where leader has commitment rights over follower recent years it has become cornerstone many security applications including airport patrolling wildlife poaching prevention even though many these settings are sequential nature existing techniques precompute entire solution ahead time paper we present theoretically sound empirically effective way apply search which leverages extra online computation improve solution computation stackelberg equilibria generalsum games instead leader attempting solve full game upfront approximate blueprint solution first computed offline then improved online particular subgames encountered actual play we prove our search technique guaranteed perform no worse than precomputed blueprint strategy empirically demonstrate it enables approximately solving significantly larger games compared purely offline methods we also show our search operation may be cast smaller stackelberg problem making our method complementary existing algorithms based strategy generation
A Decision-Optimization Approach to Quantum Mechanics and Game Theory,Computer Science and Game Theory,fundamental laws quantum world upsets logical foundation classic physics they are completely counterintuitive many bizarre behaviors however paper shows they may make sense perspective general decisionoptimization principle cooperation principle also offers generalization nash equilibrium key concept game theory better payoffs stability game playing
Differentially Private Condorcet Voting,Computer Science and Game Theory,designing private voting rules important pressing problem trustworthy democracy paper under framework differential privacy we propose novel famliy randomized voting rules based wellknown condorcet method focus three classes voting rules family laplacian condorcet method cmlaplambda exponential condorcet method cmexplambda randomized response condorcet method cmrrlambda where lambda represents level noise we prove all our rules satisfy absolute monotonicity lexiparticipation probabilistic pareto efficiency approximate probabilistic condorcet criterion approximate sdstrategyproofness addition cmrrlambda satisfies nonapproximate probabilistic condorcet criterion while cmlaplambda cmexplambda satisfy strong lexiparticipation finally we regard differential privacy voting axiom discuss its relations other axioms
Is Mapping Necessary for Realistic PointGoal Navigation?,Computer Vision and Pattern Recognition,can autonomous agent navigate new environment without building explicit map task pointgoal navigation go delta delta under idealized settings no rgbd actuation noise perfect gpscompass answer clear yes mapless neural models composed taskagnostic components cnns rnns trained largescale reinforcement learning achieve success standard dataset gibson however pointnav realistic setting rgbd actuation noise no gpscompass open question one we tackle paper strongest published result task success first we identify main perhaps only cause drop performance absence gpscompass agent perfect gpscompass faced rgbd sensing actuation noise achieves success gibsonv val suggests paraphrase meme robust visual odometry all we need realistic pointnav if we can achieve we can ignore sensing actuation noise our operating hypothesis we scale dataset model size develop humanannotationfree dataaugmentation techniques train models visual odometry we advance state art habitat realistic pointnav challenge success relative spl relative while our approach does not saturate solve dataset strong improvement combined promising zeroshot simreal transfer locobot provides evidence consistent hypothesis explicit mapping may not be necessary navigation even realistic setting
Sparse R-CNN: End-to-End Object Detection with Learnable Proposals,Computer Vision and Pattern Recognition,we present sparse rcnn purely sparse method object detection images existing works object detection heavily rely dense object candidates such anchor boxes predefined all grids image feature map size htimes our method however fixed sparse set learned object proposals total length are provided object recognition head perform classification location eliminating hwk up hundreds thousands handdesigned object candidates eg learnable proposals sparse rcnn completely avoids all efforts related object candidates design manytoone label assignment more importantly final predictions are directly output without nonmaximum suppression postprocedure sparse rcnn demonstrates accuracy runtime training convergence performance par wellestablished detector baselines challenging coco dataset eg achieving ap standard times training schedule running fps using resnet fpn model we hope our work could inspire rethinking convention dense prior object detectors code available httpsgithubcompeizesunsparsercnn
"MVP-Net: Multiple View Pointwise Semantic Segmentation of Large-Scale
  Point Clouds",Computer Vision and Pattern Recognition,semantic segmentation point cloud essential task autonomous driving environment perception pipeline most pointwise point cloud semantic segmentation methods includes points sampling neighbor searching feature aggregation classification neighbor searching method like knearest neighbors algorithm knn has been widely applied however complexity knn always bottleneck efficiency paper we propose endtoend neural architecture multiple view pointwise net mvpnet efficiently directly infer largescale outdoor point cloud without knn any complex prepostprocessing instead assumptionbased space filling curves multirotation point cloud methods are introduced point feature aggregation receptive field expanding numerical experiments show proposed mvpnet times faster than most efficient pointwise semantic segmentation method randlanet achieves same accuracy largescale benchmark semantickitti dataset
RBIR Based on Signature Graph,Computer Vision and Pattern Recognition,paper approaches image retrieval system base visual features local region rbir regionbased image retrieval first all paper presents method extracting interest points based harrislaplace create feature region image next order reduce storage space speed up query image paper builds binary signature structure describe visual content image based images binary signature paper builds sg signature graph classify store images binary signatures since then paper builds image retrieval algorithm sg through similar measure emd earth movers distance between images binary signatures last but not least paper gives image retrieval model rbir experiments assesses image retrieval method corel image database over images
Densely Nested Top-Down Flows for Salient Object Detection,Computer Vision and Pattern Recognition,goal identifying pixelwise salient object regions each input image salient object detection sod has been receiving great attention recent years one kind mainstream sod methods formed bottomup feature encoding procedure topdown information decoding procedure while numerous approaches have explored bottomup feature extraction task design topdown flows still remains understudied end paper revisits role topdown modeling salient object detection designs novel densely nested topdown flows dntdfbased framework every stage dntdf features higher levels are read via progressive compression shortcut paths pcsp notable characteristics our proposed method are follows propagation highlevel features which usually have relatively strong semantic information enhanced decoding procedure help pcsp gradient vanishing issues caused nonlinear operations topdown information flows can be alleviated thanks full exploration highlevel features decoding process our method relatively memory efficient compared against those existing methods integrating dntdf efficientnet we construct highly lightweighted sod model very low computational complexity demonstrate effectiveness proposed model comprehensive experiments are conducted six widelyused benchmark datasets comparisons most stateoftheart methods well carefullydesigned baseline models verify our insights topdown flow modeling sod code paper available httpsgithubcomnewstoneobjectdntd
Aerospace Human System Integration Evolution over the Last 40 Years,Human-Computer Interaction,chapter focuses evolution humancentered design hcd aerospace systems over last forty years human factors ergonomics first shifted study physical medical issues cognitive issues circa advent computers brought it development humancomputer interaction hci which then expanded into field digital interaction design user experience ux we ended up concept interactive cockpits not because pilots interacted mechanical things but because they interacted using pointing devices computer displays since early complexity organizational issues gained prominence point complex systems design management found itself center stage spotlight role human element organizational setups today human systems integration hsi no longer only singleagent problem but multiagent research field systems are systems systems considered representations people machines they are made statically dynamically articulated structures functions when they are work they are living organisms generate emerging functions structures need be considered evolution ie their constant redesign chapter will more specifically focus human factors such humancentered systemic representations life critical systems organizational issues complexity management modeling simulation flexibility tangibility autonomy discussion will be based several examples civil aviation air combat well aerospace
"Emotion Recognition From Gait Analyses: Current Research and Future
  Directions",Human-Computer Interaction,human gait refers daily motion represents not only mobility but it can also be used identify walker either human observers computers recent studies reveal gait even conveys information about walkers emotion individuals different emotion states may show different gait patterns mapping between various emotions gait patterns provides new source automated emotion recognition compared traditional emotion detection biometrics such facial expression speech physiological parameters gait remotely observable more difficult imitate requires less cooperation subject these advantages make gait promising source emotion detection article reviews current research gaitbased emotion detection particularly how gait parameters can be affected different emotion states how emotion states can be recognized through distinct gait patterns we focus detailed methods techniques applied whole process emotion recognition data collection preprocessing classification last we discuss possible future developments efficient effective gaitbased emotion recognition using state art techniques intelligent computation big data
"PeerGPT: Probing the Roles of LLM-based Peer Agents as Team Moderators
  and Participants in Children's Collaborative Learning",Human-Computer Interaction,childrens collaborative learning effective peer conversations can significantly enhance quality childrens collaborative interactions integration large language model llm agents into setting explores their novel role peers assessing impacts team moderators participants we invited two groups participants engage collaborative learning workshop where they discussed proposed conceptual solutions design problem peer conversation transcripts were analyzed using thematic analysis we discovered peer agents while managing discussions effectively team moderators sometimes have their instructions disregarded participants they foster childrens creative thinking but may not consistently provide timely feedback these findings highlight potential design improvements considerations peer agents both roles
"DeepShovel: An Online Collaborative Platform for Data Extraction in
  Geoscience Literature with AI Assistance",Human-Computer Interaction,geoscientists well researchers many fields need read huge amount literature locate extract aggregate relevant results data enable future research build scientific database but there no existing system support use case well paper based findings formative study about how geoscientists collaboratively annotate literature extract aggregate data we proposed deepshovel publiclyavailable aiassisted data extraction system support their needs deepshovel leverages stateoftheart neural network models support researchers easily accurately annotate papers pdf format extract data tables figures maps etc humanai collaboration manner followup user evaluation researchers suggested deepshovel improved users efficiency data extraction building scientific databases encouraged teams form larger scale but more tightlycoupled collaboration
"Post-human interaction design, yes, but cautiously",Human-Computer Interaction,posthuman design runs risk obscuring fact ai technology actually imports cartesian humanist logic which subsequently influences how we design conceive socalled smart intelligent objects leads unwanted metaphorical attributions human qualities smart objects instead starting embodied sensemaking perspective designers should demand engineers radically transform very structure ai technology order truly support critical posthuman values collectivity relationality community building
"A proactive malicious software identification approach for digital
  forensic examiners",Cryptography and Security,digital investigators often get involved cases which seemingly point responsibility person which computer belongs but after thorough examination malware proven be cause causing loss precious time whilst antivirus av software can assist investigator identifying presence malware increase zeroday attacks errors exist av tools something cannot be relied upon aim paper investigate behaviour malware upon various windows operating system versions order determine correlate relationship between malicious software os artifacts will enable investigator be more efficient identifying presence new malware provide starting point further investigation
WebEye - Automated Collection of Malicious HTTP Traffic,Cryptography and Security,malware detection techniques increasingly adopting machine learning approaches creation precise training sets becomes more more important large data sets realistic web traffic correctly classified benign malicious are needed not only train classic deep learning algorithms but also serve evaluation benchmarks existing malware detection products interestingly despite vast number versatility threats user may encounter when browsing web actual malicious content often hard come since prerequisites such browser operating system type version must be met order receive payload malware distributing server combination privacy constraints data sets actual user traffic it difficult researchers product developers evaluate antimalware solutions against largescale data sets realistic web traffic paper we present webeye framework autonomously creates realistic http traffic enriches recorded traffic additional information classifies records malicious benign using different classifiers we are using webeye collect malicious html javascript show how datasets created webeye can be used train machine learning based malware detection algorithms we regard webeye data sets it creates tool researchers product developers evaluate improve their aibased antimalware solutions against largescale benchmarks
